Open,High,Low,Close,Volume,Open Time,Close Time,Crypto
114476.01227508577,115957.34497996338,114083.62215827091,114083.62215827091,1391802178879.6177,2025-10-27 00:00:00,2025-10-28 00:00:00,BTC
114182.79442806762,115432.20899391148,112848.07396975305,113215.0370549014,1385740650520.1921,2025-10-28 00:00:00,2025-10-29 00:00:00,BTC
112950.34863259472,113559.64323800545,112442.13048264038,113306.71393161982,674317704218.0848,2025-10-29 00:00:00,,BTC
3862.746735194548,3862.746735194548,3710.0663631664465,3710.0663631664465,476671049255.4189,2025-07-31 00:00:00,2025-08-01 00:00:00,ETH
3696.6628530851194,3713.0151370332537,3463.211041724805,3463.211041724805,905865891713.1315,2025-08-01 00:00:00,2025-08-02 00:00:00,ETH
3490.126027261797,3532.413223233703,3380.723061341434,3415.1727392636453,841860084250.5433,2025-08-02 00:00:00,2025-08-03 00:00:00,ETH
3400.741514835749,3504.0964904344964,3400.741514835749,3504.0964904344964,598405714714.1284,2025-08-03 00:00:00,2025-08-04 00:00:00,ETH
3497.7884248520922,3730.3107463400283,3497.7884248520922,3730.3107463400283,519863077868.18823,2025-08-04 00:00:00,2025-08-05 00:00:00,ETH
3715.7090148550706,3715.7090148550706,3560.330481668972,3599.846423184819,700227405829.244,2025-08-05 00:00:00,2025-08-06 00:00:00,ETH
3611.964869972736,3683.791758752275,3575.691187845531,3680.691803389612,621410094257.3557,2025-08-06 00:00:00,2025-08-07 00:00:00,ETH
3684.0459195726726,3917.167012815971,3658.659435194068,3917.167012815971,602255685343.7611,2025-08-07 00:00:00,2025-08-08 00:00:00,ETH
3907.6010172319807,4056.9088873365745,3884.6407128317596,4027.2361515479383,874051083098.2203,2025-08-08 00:00:00,2025-08-09 00:00:00,ETH
4012.97697001236,4284.838916253817,4012.97697001236,4263.267795859384,880560943738.2288,2025-08-09 00:00:00,2025-08-10 00:00:00,ETH
4265.188124390236,4300.925681645424,4175.734323237676,4238.311728364265,842671603942.323,2025-08-10 00:00:00,2025-08-11 00:00:00,ETH
4250.615963435331,4329.349909108529,4180.411674325848,4227.12990164748,807773425362.684,2025-08-11 00:00:00,2025-08-12 00:00:00,ETH
4230.6276301156,4604.049066142797,4230.6276301156,4579.092108876254,1029765691247.1798,2025-08-12 00:00:00,2025-08-13 00:00:00,ETH
4595.036847181483,4764.059256437557,4578.337731576656,4764.059256437557,1397526942223.6094,2025-08-13 00:00:00,2025-08-14 00:00:00,ETH
4750.841644372325,4776.316297664901,4472.9478535800845,4536.993501403145,1499247840885.34,2025-08-14 00:00:00,2025-08-15 00:00:00,ETH
4560.320575406474,4652.2235757529015,4386.035919898839,4484.038379608297,1394457834185.369,2025-08-15 00:00:00,2025-08-16 00:00:00,ETH
4430.532465017841,4489.322103036408,4388.622203435841,4427.9779936676905,932759534231.2865,2025-08-16 00:00:00,2025-08-17 00:00:00,ETH
4423.427841805725,4563.720883287974,4411.989814369911,4530.179357292165,548736114142.3733,2025-08-17 00:00:00,2025-08-18 00:00:00,ETH
4485.033789094146,4485.033789094146,4253.453671625841,4344.315720750668,918770080075.8096,2025-08-18 00:00:00,2025-08-19 00:00:00,ETH
4317.2757573282315,4345.627728915809,4133.66525923688,4133.66525923688,934222621814.3037,2025-08-19 00:00:00,2025-08-20 00:00:00,ETH
4080.647740086776,4361.716783581947,4080.647740086776,4361.716783581947,1004115324289.4843,2025-08-20 00:00:00,2025-08-21 00:00:00,ETH
4335.095011843836,4335.095011843836,4219.881963694916,4249.305258031314,812360512417.0074,2025-08-21 00:00:00,2025-08-22 00:00:00,ETH
4224.438592580698,4850.149717926177,4224.438592580698,4806.585528447295,858281389702.2325,2025-08-22 00:00:00,2025-08-23 00:00:00,ETH
4829.225541798332,4829.225541798332,4695.156193510311,4781.222409255611,1318679991066.092,2025-08-23 00:00:00,2025-08-24 00:00:00,ETH
4773.884088598777,4926.089754676351,4738.395358438083,4777.997674218602,608749986283.1494,2025-08-24 00:00:00,2025-08-25 00:00:00,ETH
4778.10916071381,4778.10916071381,4369.918094317199,4392.896227429519,1113529818873.871,2025-08-25 00:00:00,2025-08-26 00:00:00,ETH
4381.626176071471,4596.292342916886,4342.268648804635,4595.629541989182,1179660114473.3347,2025-08-26 00:00:00,2025-08-27 00:00:00,ETH
4602.369685333965,4653.7854843367795,4520.77654133945,4525.379821678664,909168547948.6592,2025-08-27 00:00:00,2025-08-28 00:00:00,ETH
4503.24929143207,4608.788768340618,4458.948743671207,4510.373554966164,788984724375.1724,2025-08-28 00:00:00,2025-08-29 00:00:00,ETH
4510.743657697646,4510.743657697646,4279.958551412731,4355.937759629875,782880444100.1713,2025-08-29 00:00:00,2025-08-30 00:00:00,ETH
4359.242872747144,4405.514986473105,4280.510892223094,4358.346276011651,720283561066.388,2025-08-30 00:00:00,2025-08-31 00:00:00,ETH
