"date","open","high","low","close","volume","fear_greed_value","classification"
2018-06-30,6197.92000000,6528.99000000,6186.03000000,6390.07000000,37919.6128400000,22,Extreme Fear
2018-07-01,6391.08000000,6441.06000000,6251.00000000,6356.81000000,27562.9659740000,27,Fear
2018-07-02,6360.82000000,6685.00000000,6271.62000000,6615.29000000,36230.4522640000,27,Fear
2018-07-03,6615.29000000,6679.35000000,6463.01000000,6513.86000000,38657.7816910000,31,Fear
2018-07-04,6511.01000000,6784.92000000,6441.11000000,6586.98000000,23571.8927770000,33,Fear
2018-07-05,6585.53000000,6712.00000000,6453.33000000,6529.20000000,35071.9728980000,37,Fear
2018-07-06,6529.20000000,6648.54000000,6425.00000000,6609.78000000,29397.0947480000,34,Fear
2018-07-07,6609.79000000,6818.16000000,6508.88000000,6756.98000000,23973.8768860000,34,Fear
2018-07-08,6753.48000000,6780.00000000,6667.44000000,6712.10000000,24622.9477940000,38,Fear
2018-07-09,6712.10000000,6802.06000000,6612.24000000,6662.12000000,26732.4065500000,39,Fear
2018-07-10,6662.78000000,6681.00000000,6263.00000000,6296.91000000,38560.6727020000,37,Fear
2018-07-11,6296.91000000,6406.00000000,6278.99000000,6378.07000000,28715.4984870000,29,Fear
2018-07-12,6378.07000000,6380.28000000,6070.00000000,6250.57000000,31306.6633480000,33,Fear
2018-07-13,6251.40000000,6350.00000000,6110.00000000,6214.57000000,26375.3252860000,29,Fear
2018-07-14,6214.57000000,6335.00000000,6178.00000000,6251.99000000,17783.0719990000,29,Fear
2018-07-15,6250.90000000,6395.00000000,6225.40000000,6353.01000000,22979.2115080000,32,Fear
2018-07-16,6354.15000000,6747.30000000,6330.40000000,6723.35000000,36204.8770800000,36,Fear
2018-07-17,6723.33000000,7468.99000000,6652.04000000,7317.44000000,52105.4234590000,39,Fear
2018-07-18,7317.44000000,7588.08000000,7225.38000000,7381.90000000,59487.6434500000,42,Fear
2018-07-19,7381.88000000,7576.28000000,7270.00000000,7466.21000000,41218.2564370000,44,Fear
2018-07-20,7468.86000000,7700.00000000,7273.00000000,7337.53000000,46140.3134470000,47,Neutral
2018-07-21,7337.47000000,7458.47000000,7211.00000000,7398.78000000,28886.4902910000,43,Fear
2018-07-22,7399.25000000,7582.40000000,7335.50000000,7394.79000000,30270.2184400000,46,Fear
2018-07-23,7394.78000000,7833.00000000,7375.00000000,7721.01000000,41646.3466710000,44,Fear
2018-07-24,7721.65000000,8486.00000000,7696.00000000,8397.24000000,60121.1637490000,49,Neutral
2018-07-25,8397.24000000,8491.77000000,8050.00000000,8175.64000000,48257.6491240000,54,Neutral
2018-07-26,8175.63000000,8315.69000000,7850.06000000,7920.00000000,43223.4816820000,53,Neutral
2018-07-27,7920.00000000,8285.00000000,7805.00000000,8188.57000000,43671.0058910000,47,Neutral
2018-07-28,8188.57000000,8246.54000000,8067.00000000,8225.04000000,26215.1738390000,54,Neutral
2018-07-29,8225.04000000,8294.51000000,8115.00000000,8211.00000000,25531.2261850000,54,Neutral
2018-07-30,8210.99000000,8273.00000000,7866.00000000,8173.92000000,39692.4165420000,53,Neutral
2018-07-31,8171.40000000,8180.00000000,7633.00000000,7730.93000000,48296.9155870000,48,Neutral
2018-08-01,7735.67000000,7750.00000000,7430.00000000,7604.58000000,42582.3129320000,39,Fear
2018-08-02,7600.08000000,7709.46000000,7455.72000000,7525.71000000,37665.6966840000,39,Fear
2018-08-03,7525.71000000,7540.00000000,7282.44000000,7418.78000000,44669.4860470000,36,Fear
2018-08-04,7412.27000000,7494.81000000,6926.00000000,7009.84000000,36288.4260100000,31,Fear
2018-08-05,7009.84000000,7089.87000000,6882.29000000,7024.19000000,32894.8497820000,23,Extreme Fear
2018-08-06,7024.19000000,7160.00000000,6821.00000000,6934.82000000,32760.1916430000,25,Extreme Fear
2018-08-07,6935.00000000,7150.46000000,6670.00000000,6720.06000000,45438.4735010000,25,Extreme Fear
2018-08-08,6720.63000000,6721.54000000,6123.00000000,6285.00000000,59550.5363190000,23,Extreme Fear
2018-08-09,6283.27000000,6622.81000000,6178.60000000,6529.79000000,51941.1851110000,19,Extreme Fear
2018-08-10,6529.79000000,6575.88000000,6026.39000000,6144.01000000,59034.9749020000,21,Extreme Fear
2018-08-11,6148.13000000,6488.00000000,5971.00000000,6232.35000000,47133.4185550000,18,Extreme Fear
2018-08-12,6222.55000000,6472.30000000,6130.00000000,6308.33000000,38567.7707120000,18,Extreme Fear
2018-08-13,6308.56000000,6545.00000000,6145.04000000,6246.35000000,53895.8287830000,21,Extreme Fear
2018-08-14,6248.25000000,6250.33000000,5880.00000000,6188.08000000,50186.7450910000,16,Extreme Fear
2018-08-15,6188.08000000,6609.00000000,6172.11000000,6267.16000000,68806.6870260000,18,Extreme Fear
2018-08-16,6265.27000000,6480.00000000,6205.60000000,6311.75000000,48515.2546180000,21,Extreme Fear
2018-08-17,6316.00000000,6585.00000000,6285.40000000,6584.49000000,57851.6108030000,19,Extreme Fear
2018-08-18,6579.04000000,6620.00000000,6288.00000000,6387.96000000,53742.3221720000,24,Extreme Fear
2018-08-19,6387.96000000,6541.00000000,6300.00000000,6477.53000000,45190.8479940000,27,Fear
2018-08-20,6477.53000000,6530.00000000,6220.00000000,6254.84000000,49435.5552600000,26,Fear
2018-08-21,6251.00000000,6500.00000000,6235.08000000,6480.00000000,41569.9474080000,19,Extreme Fear
2018-08-22,6479.98000000,6882.54000000,6251.20000000,6360.89000000,77909.3913590000,21,Extreme Fear
2018-08-23,6362.57000000,6576.99000000,6342.28000000,6525.01000000,40358.1668250000,18,Extreme Fear
2018-08-24,6525.00000000,6725.00000000,6440.50000000,6681.64000000,38305.6753220000,19,Extreme Fear
2018-08-25,6686.98000000,6789.00000000,6650.61000000,6733.64000000,19220.5059290000,22,Extreme Fear
2018-08-26,6733.64000000,6775.27000000,6568.00000000,6700.00000000,20107.2972080000,19,Extreme Fear
2018-08-27,6700.00000000,6940.51000000,6646.50000000,6908.64000000,37747.0787470000,18,Extreme Fear
2018-08-28,6907.26000000,7135.00000000,6860.00000000,7076.11000000,48352.9171630000,19,Extreme Fear
2018-08-29,7077.00000000,7133.81000000,6912.34000000,7031.22000000,43252.4873920000,19,Extreme Fear
2018-08-30,7033.21000000,7063.63000000,6784.81000000,6984.84000000,44716.7746200000,22,Extreme Fear
2018-08-31,6984.84000000,7089.00000000,6888.00000000,7011.21000000,40467.4006380000,17,Extreme Fear
2018-09-01,7011.21000000,7275.00000000,7008.74000000,7200.01000000,40323.4140930000,21,Extreme Fear
2018-09-02,7201.57000000,7345.45000000,7127.00000000,7302.01000000,39814.8403520000,18,Extreme Fear
2018-09-03,7302.00000000,7338.28000000,7191.63000000,7263.02000000,32396.0183710000,19,Extreme Fear
2018-09-04,7263.00000000,7410.00000000,7227.17000000,7359.06000000,35300.6405180000,26,Fear
2018-09-05,7359.05000000,7397.30000000,6682.00000000,6700.00000000,63715.2562670000,17,Extreme Fear
2018-09-06,6697.27000000,6725.00000000,6265.00000000,6516.01000000,60644.4642270000,14,Extreme Fear
2018-09-07,6516.84000000,6544.00000000,6320.00000000,6395.54000000,38906.2880500000,17,Extreme Fear
2018-09-08,6395.54000000,6478.00000000,6111.00000000,6185.05000000,38215.0321710000,18,Extreme Fear
2018-09-09,6185.06000000,6441.00000000,6141.53000000,6250.81000000,37053.9238200000,13,Extreme Fear
2018-09-10,6252.26000000,6373.98000000,6221.00000000,6312.00000000,32439.4564320000,15,Extreme Fear
2018-09-11,6311.99000000,6404.00000000,6169.68000000,6294.91000000,33104.8885900000,18,Extreme Fear
2018-09-12,6293.00000000,6360.00000000,6192.37000000,6338.62000000,31433.6459390000,14,Extreme Fear
2018-09-13,6338.62000000,6535.00000000,6337.40000000,6487.38000000,40465.0631070000,20,Extreme Fear
2018-09-14,6487.39000000,6584.99000000,6385.62000000,6476.63000000,37173.3392770000,23,Extreme Fear
2018-09-15,6476.63000000,6565.45000000,6466.13000000,6514.96000000,25243.6566120000,24,Extreme Fear
2018-09-16,6514.96000000,6524.62000000,6370.00000000,6505.00000000,27568.1328970000,28,Fear
